sentence_1,sentence_2,label
"[5091, 4850, 2249, 5393, 6695, 4186, 5398]","[9291, 4850, 2249, 5393, 9854, 2912, 6053, 8279, 1567, 9798]",0
"[8387, 6508, 7957, 668, 588, 6468, 10126, 9876, 8528, 4623, 588, 997, 1716, 2910, 9876, 10365]","[8387, 6778, 5949, 588, 10437, 10063]",0
"[5091, 355, 7626, 6993, 1044, 6053, 588, 10490, 9876, 6488, 9791, 2907, 3872, 786, 7439, 8494, 9643, 8601, 824, 2249, 2041, 9876, 9769, 922, 1421, 7045]","[9291, 355, 7626, 4143, 2520, 588, 326, 6488]",0
"[5091, 5393, 824, 10385, 4143, 5797]","[5091, 4850, 6480, 3007]",0
"[5091, 4850, 9389, 3368, 8956, 2047, 9122, 7647, 588, 4390, 2797]","[5091, 4850, 6993, 2761, 824, 2169, 1229, 9267, 10507, 6726]",0
"[5091, 5696, 447, 8815, 5510, 7110, 668, 2169, 6468, 9312, 219, 7986, 6053, 2169, 501]","[5326, 9825, 10451, 4088, 4616, 7217]",0
"[5091, 10609, 9876, 7740, 6072, 2672, 588, 4372, 9876, 9034, 10016, 4729]","[3952, 9854, 6072, 2672, 2325, 7796, 7848]",1
"[5091, 7626, 8667, 588, 9224, 9193, 7289, 588, 5272, 668, 2169, 6468]","[9291, 7626, 6993, 5385, 824, 588, 1644]",0
"[9291, 5257, 8213, 2645, 6993, 946, 6053, 7471, 9876, 2169, 2097, 9876, 5007]","[9291, 8213, 2645, 6993, 6053, 2169, 6186]",0
"[5091, 7626, 5361, 2531, 8567, 2455, 374, 7326, 7289, 1421, 6103, 2520, 3710, 9575, 3616, 8494, 10087, 10815, 1421, 5604, 8956, 588, 8106, 471, 9876, 7986]","[9291, 7626, 6993, 2003, 1421, 2531, 8567, 7004]",1
"[6586, 9854, 9312, 3044, 588, 1151]","[6465, 2943, 9312, 10451]",1
"[5091, 355, 6508, 2520, 459, 8746, 7957, 668, 588, 1853, 501, 824, 2169, 465]","[5091, 355, 4850, 2520, 459, 8746, 6993, 7957, 668, 588, 501]",1
"[8387, 1828, 2520, 588, 3665, 2249, 10385, 5510, 6480, 824, 2169, 2797]","[8387, 1828, 9854, 824, 5974]",1
"[5091, 1734, 6053, 588, 4789, 5543, 2520, 7986, 8667, 2851, 9846, 2249, 10385]","[6465, 7986, 9854, 10366, 668, 588, 5543]",0
"[5091, 683, 8667, 588, 2423, 9787, 588, 10308]","[9291, 683, 6993, 10781, 2169, 5008, 8861]",1
"[8387, 8492, 824, 232, 5079, 9854, 5637, 1105, 8815, 2674, 1644, 3447, 8334, 2672, 2169, 3121, 9876, 2169, 1644]","[9291, 4205, 6778, 3992, 3364, 2169, 1644, 824, 2169, 5385, 7237]",0
"[5091, 5393, 824, 588, 5421, 9193, 2249, 588, 9846, 2423, 6993, 1183, 6053, 588, 9305, 8705, 588, 6112, 6409]","[9691, 6993, 588, 5393, 824, 588, 5421, 9193]",1
"[5091, 4850, 824, 8468, 2249, 9846, 540, 7875, 4160, 824, 588, 843]","[5091, 4850, 6993, 1434, 8468, 2249, 4160, 824, 588, 843]",1
"[5091, 785, 1853, 2539, 2520, 671, 1082, 7485, 4306, 2249, 588, 5227, 9876, 7986, 7957, 6053, 2169, 501]","[5091, 9192, 5723, 2539, 2520, 9627, 5967, 366, 2249, 588, 1934]",0
"[5091, 9684, 8753, 2249, 7506, 6288, 824, 2169, 9409, 585, 2455, 588, 3438, 2129]","[5091, 9684, 6863, 1421, 4698, 8956, 346]",0
"[10175, 4160, 6053, 588, 3074, 4644, 9389, 6053, 2169, 6186, 9876, 1421, 6036]","[5091, 5393, 6993, 8175, 6053, 2169, 6186]",0
"[5091, 10609, 9876, 7986, 8125, 10701, 4526, 1105, 588, 3547, 7485, 10263, 2277]","[5091, 10609, 9876, 7986, 9389, 824, 588, 2556]",0
"[9891, 6778, 9262, 7496, 10682, 358, 824, 2169, 585, 9876, 8815, 4145, 2918, 10756, 5237]","[9291, 6778, 9854, 9389, 10451]",0
"[9691, 9854, 10595, 6779, 4841, 2210, 3797, 10526, 10616]","[9691, 6993, 5875, 10126, 9755]",0
"[5091, 2571, 9876, 501, 4144, 10126, 6053, 9431, 2197, 2249, 2169, 4706, 2520, 588, 10436, 5384, 3691]","[5091, 2571, 9876, 501, 4144, 9854, 3691]",1
"[8387, 7965, 2520, 8106, 8746, 9854, 4338, 2249, 10126, 6993, 3094, 5398, 9846, 2249, 9224]","[8387, 6778, 9854, 7272]",0
"[495, 2249, 10343, 1044, 4392]","[1636, 2249, 7965, 9854, 1302, 824, 588, 7153, 824, 5688]",0
"[2566, 7986, 9854, 518, 4320, 588, 5834, 6072, 2672, 588, 10063]","[2566, 7986, 9854, 10451]",1
"[8387, 7986, 8667, 10385, 9854, 5409, 6053, 588, 6468, 824, 9513, 9876, 588, 9474, 2520, 3208, 824, 2169, 392, 2096]","[9691, 9854, 4205, 7986]",1
"[5091, 5870, 824, 588, 10385, 9193, 6993, 4299, 5398, 824, 1421, 2919, 6053, 588, 9474, 2087]","[5091, 5393, 5842, 588, 8737]",0
"[3952, 9854, 4088, 2672, 588, 5237, 9638, 9854, 4088, 9769, 4611, 9854, 5844]","[3952, 9854, 824, 588, 5237]",1
"[3013, 4841, 824, 10154, 10026, 2135, 588, 3338]","[9291, 4841, 9854, 2135, 588, 2698, 3322]",0
"[5091, 5393, 87, 2169, 9627, 8071, 6032, 588, 309, 9876, 1040, 7969]","[5091, 5393, 3960, 9627]",1
"[5091, 5393, 2249, 588, 4850, 2761, 10451, 588, 3338, 3368, 8956, 8815, 1178, 9737]","[5091, 5393, 2249, 4850, 1325, 10159, 2455, 588, 9737]",0
"[8387, 6778, 8667, 10026, 1044, 2697, 4449, 4233, 3327]","[10247, 1044, 5347]",0
"[8387, 7579, 8667, 2915, 9854, 9017, 358, 3447, 588, 4850, 824, 9846, 3616, 4205, 7986, 824, 9846, 7004, 8523, 588, 7199, 10507]","[5091, 4850, 6956, 358, 8956, 4205, 7579, 9769, 4205, 4706, 7986, 9854, 8343]",1
"[5091, 5342, 138, 9614, 6072, 10451, 9876, 2169, 7221, 2221, 9769, 10328, 4143, 2520, 707, 3840]","[5091, 5784, 6993, 4088, 1410]",0
"[5091, 5393, 824, 588, 10385, 3548, 51, 5742, 6668, 10801, 4392, 588, 862, 5657, 8316, 6139]","[9291, 5393, 51, 5742, 5216, 10801, 4392, 1421, 862, 5657, 9769, 8667, 588, 10385, 9671]",1
"[9484, 5878, 1396, 8074, 9903, 588, 5246]","[5091, 10801, 149, 7370, 2618, 588, 392, 5479]",0
"[2154, 1465, 9876, 588, 4818, 6103, 4435]","[9691, 6993, 588, 6103, 4435]",1
"[3952, 4299, 1442, 7136, 9769, 99, 8956, 2906, 5398, 3044, 588, 2221, 6053, 2169, 2431, 6186]","[9691, 9854, 4983, 7986, 1968]",1
"[5091, 5393, 824, 588, 4746, 7480, 10061, 6993, 7214, 6053, 588, 9846, 3341, 149]","[5091, 5393, 6993, 10451, 7214]",1
"[2566, 7986, 824, 588, 10801, 1513, 5543, 2520, 932, 1767]","[9291, 8330, 7986, 9854, 824, 2169, 10801]",1
"[9891, 5797, 6263, 3731, 2249, 2193, 2672, 2169, 7327, 8799, 4495]","[9291, 7986, 9854, 1044, 5797]",1
"[5091, 4850, 1044, 588, 5353, 824, 9513, 9876, 588, 10609, 9876, 7986, 2761, 10451]","[9691, 9854, 7986, 10451]",1
"[5091, 5896, 9876, 2876, 7619, 6053, 588, 10385, 7621, 246]","[9291, 246, 6993, 4789, 4981, 2455, 4983, 2876]",1
"[5091, 1951, 9744, 2041, 9876, 2169, 2492, 2672, 588, 5722, 3267]","[5091, 1951, 6993, 5966, 8175, 824, 1421, 9857]",0
"[5091, 10609, 9876, 10092, 4160, 2520, 1828, 8956, 2368, 588, 7568, 10740, 10451, 9876, 588, 3840, 9457, 4875, 2455, 1828, 824, 894]","[5091, 10609, 9876, 7986, 9854, 8580, 2672, 588, 3022]",0
"[9291, 5393, 6993, 2761, 3368, 8956, 588, 7621, 9769, 2169, 7621, 10, 824, 2169, 10489]","[9291, 5393, 6993, 2761, 3368, 8956, 588, 7621]",1
"[8787, 7176, 8574, 1154, 8705, 588, 1951, 4441, 2169, 1951, 8774, 4110, 9595, 5133, 2169, 1951]","[5091, 3201, 9017, 7821, 8705, 588, 1951]",1
"[5091, 4850, 2249, 5870, 9654, 4721, 2169, 1022]","[5091, 5393, 6993, 9654]",0
"[4593, 6993, 588, 10609, 9876, 7986, 4162, 824, 588, 3992]","[5091, 10609, 9876, 7986, 9854, 9017, 4889, 2249, 6112, 6146]",0
"[8057, 6856, 9638, 824, 5642, 824, 588, 3148, 7582, 2603, 1022, 4435, 9071, 824, 2169, 8439, 3616, 7986, 8419]","[8057, 6856, 4767, 824, 588, 3148, 4945, 3773, 1022, 6338, 3267, 6916]",1
"[5091, 4789, 10609, 9876, 4321, 3362, 9854, 8396, 4392, 6053, 588, 997, 2101]","[9291, 2371, 9854, 8396, 8279, 8788, 6053, 2169, 2101]",1
"[8387, 6778, 6053, 4506, 1044, 5353, 2249, 6929, 2520, 6598, 9193, 2249, 3201, 2423]","[5091, 5178, 5689, 5384, 588, 3828]",1
"[5091, 5393, 7984, 588, 2571, 9876, 8687, 9644, 6053, 1421, 953]","[5091, 5393, 10661, 1421, 953]",1
"[5091, 5393, 2520, 588, 4455, 2423, 2249, 3548, 6993, 5167, 824, 9224, 3324]","[9291, 5393, 7625, 588, 7951, 5451]",0
"[5091, 4617, 9647, 6053, 588, 8118, 1107, 2520, 2955, 3208, 824, 2169, 7088]","[5091, 4850, 9647]",1
"[5091, 4817, 7370, 8667, 5421, 4797, 9846, 2782, 4764, 2249, 2851, 4495, 3751, 6640, 5133, 2169, 2537, 9876, 588, 3496, 2249, 3515, 824, 2169, 10489]","[5091, 683, 6993, 4019, 6525]",1
"[5091, 4321, 3362, 6993, 8389, 588, 6290, 9769, 8667, 5245, 905, 10571]","[9291, 7626, 2951, 2766]",0
"[5091, 10609, 9876, 7986, 9638, 9876, 6601, 9854, 2761, 2249, 7984, 9162, 5490, 200, 588, 4153, 7439, 6993, 8542, 2520, 9023, 9876, 358]","[4533, 10126, 7830, 358]",0
"[5091, 5421, 2249, 9846, 7621, 6072, 3797]","[5091, 7621, 6993, 2994, 2672, 2169, 2209, 5715, 95, 7122, 588, 505]",0
"[5091, 6578, 58, 2811, 824, 588, 10385, 3703, 7471, 2249, 5421, 4707, 6993, 2243, 668, 9769, 4425, 1421, 4638, 6053, 2169, 1676]","[9291, 6578, 6993, 4425, 58, 5388]",1
"[5091, 4617, 2520, 588, 9224, 2038, 8839, 6053, 588, 9228, 2520, 588, 5393, 824, 8815, 482, 3703, 2249, 3034, 5393, 2520, 588, 7621]","[9691, 9854, 3710, 1807, 1447, 824, 2169, 1498]",0
"[5091, 5393, 10682, 7041, 7228, 588, 3822]","[5091, 5393, 10682, 7041, 2383, 7041]",1
"[3952, 7957, 668, 2169, 501, 2672, 588, 6802]","[3952, 9854, 10451, 7957]",1
"[5091, 5393, 824, 1252, 9903, 7875, 6615, 1442, 2169, 3260, 9876, 588, 1705, 1535, 1442, 588, 10192, 7398, 2520, 3034, 1705]","[5091, 5393, 824, 1252, 9903, 7875, 4134, 3094, 1442, 2169, 3260, 9876, 588, 1705]",0
"[8387, 4818, 2636, 10182, 9854, 5370, 588, 2636, 9769, 8574, 9937, 1105, 2169, 10489, 8705, 6578, 2636, 10182]","[9291, 2636, 10182, 9854, 8175, 824, 588, 5491]",0
"[5091, 5393, 824, 8468, 8667, 588, 10714, 3477, 3751, 2249, 588, 3548, 2520, 1038, 6993, 5887, 1421, 9015, 2919, 2249, 8839, 824, 9513, 9876, 3034, 5887, 5393, 824, 10714, 1419]","[5867, 7957, 1867]",0
"[5091, 5393, 824, 588, 5421, 9193, 6825, 588, 4532, 3828, 2520, 588, 147, 3955]","[9291, 3955, 6993, 1153, 6072]",0
"[10247, 2135, 588, 10449, 6087, 824, 4285, 5974]","[5091, 10449, 6087, 6993, 8574, 6990]",1
"[2324, 3636, 5393, 824, 588, 7257, 1218, 5570, 3267, 7957, 668, 2169, 501]","[6680, 2169, 6778, 9854, 8667, 4927, 10359]",0
"[5091, 5393, 824, 588, 9846, 9193, 4984, 2706, 6053, 588, 2710, 309]","[9691, 6993, 588, 683, 5402, 6993, 2355, 588, 2710, 309]",1
"[5091, 5342, 5870, 8667, 3665, 2249, 9846, 6993, 7380, 858, 6893, 8705, 588, 4451, 4299, 588, 1841]","[5091, 5870, 6993, 9647, 3797, 2249, 668, 5660, 7296, 6053, 588, 1841]",0
"[5091, 9614, 6993, 9389, 6053, 588, 8507, 1973, 2672, 588, 2168]","[5091, 5634, 2249, 588, 9614, 9854, 2672, 588, 2168, 9389, 4843]",1
"[5091, 5393, 824, 588, 5062, 3528, 2249, 588, 4850, 824, 588, 9846, 2782, 4764, 6225, 2455, 588, 4075]","[3952, 6225, 2455, 588, 4075]",1
"[4765, 10085, 1961, 4885, 824, 5974]","[9691, 6993, 588, 683, 9061, 10085, 5637]",1
"[5091, 5342, 7621, 8574, 10091, 6053, 588, 1799]","[5091, 7621, 6993, 6053, 588, 1799]",1
"[5091, 7626, 6993, 4338, 9769, 8396, 588, 6112, 6409]","[9291, 7626, 6993, 8396, 588, 4417]",0
"[3529, 5188, 9854, 1044, 8815, 2161, 9007, 9876, 5974, 3159, 9769, 5172, 3514, 8419]","[3952, 9854, 10507, 4611, 1721]",1
"[5091, 683, 8389, 588, 3713, 7984, 588, 10801, 149, 2249, 9638, 8084, 609, 7297, 9769, 10678, 6993, 8995, 10451, 2520, 10801, 6053, 2169, 2209]","[5091, 683, 6993, 10427, 588, 9971]",1
"[5091, 9614, 824, 5421, 10563, 1572, 9903, 588, 2669, 7636, 2899]","[5091, 9614, 8667, 5421, 6993, 862, 2657]",0
"[9651, 1661, 7058, 7832, 2455, 588, 4757, 7994]","[9651, 7058, 7832, 8956, 6480, 9186, 6230, 2954]",0
"[9691, 6993, 588, 683, 824, 588, 5385, 3751, 2249, 5385, 6589, 2907, 6993, 5385, 824, 2169, 5974, 2520, 8279, 10350, 9567, 4885]","[5091, 683, 6993, 5385, 824, 2169, 5974]",1
"[5091, 3955, 677, 588, 1315]","[5091, 3955, 10781, 588, 554]",1
"[9484, 7011, 5870, 824, 588, 2541, 3751, 3161, 9769, 8494, 6993, 8574, 10091]","[5091, 3161, 5870, 6993, 8574, 5522]",1
"[5091, 4850, 4299, 588, 5342, 138]","[9291, 4850, 6993, 4299, 8815, 841]",1
"[2566, 1828, 9854, 1741, 588, 6328, 824, 588, 10602, 585, 9769, 2169, 771, 9854, 9594, 2041, 6053, 2169, 4153]","[9691, 9854, 1828, 824, 2169, 585]",1
"[5091, 355, 7626, 824, 588, 10385, 3548, 2249, 588, 355, 9614, 824, 588, 356, 3548, 9854, 7957, 668, 2169, 6468]","[5091, 7626, 6993, 8667, 588, 10385, 3548]",1
"[5091, 4850, 9389, 10451, 2672, 588, 4153, 2520, 358, 2249, 3887, 836]","[5091, 8103, 9582, 10209, 6993, 9389, 2672, 8815, 10451, 4153]",1
"[5091, 9614, 6072, 3044, 588, 997, 2511, 6053, 588, 4262, 1067]","[9291, 2511, 10328, 6993, 6072, 3044, 6993, 4024, 4631]",0
"[5091, 4850, 824, 588, 9846, 9193, 2249, 10385, 10359, 5517, 588, 4205, 7986, 824, 2851, 2580, 3797, 588, 550]","[9891, 7986, 5949, 588, 550, 10126, 824, 10385, 2249, 9846, 2249, 4205, 8667, 2851]",1
"[5091, 10756, 5393, 8667, 8468, 9389, 6053, 588, 9539, 4299, 588, 9224, 2194]","[9291, 5393, 6157, 668, 588, 505]",0
"[2566, 355, 6778, 2249, 588, 355, 4850, 6053, 707, 10258, 9854, 824, 588, 585, 4843]","[7320, 7986, 9854, 5683, 2912, 10451]",0
"[4684, 1052, 7986, 7110, 8071, 588, 5974, 8747, 6972, 588, 7626, 2520, 588, 5272]","[9291, 7626, 7830, 588, 5272, 3616, 8494, 10631, 8071, 2169, 10094, 5974, 8747]",1
"[5091, 9193, 2075, 4817, 7370, 6993, 824, 2691, 4057, 3276, 9903, 588, 5342, 671, 3496]","[9291, 4817, 7370, 6993, 8396, 6540, 1308, 1931]",0
"[5091, 5342, 5870, 4088, 7041, 2249, 8580, 588, 9379, 9876, 9741]","[5091, 5870, 7830, 588, 10214]",1
"[5091, 671, 8780, 10569, 5235, 588, 1392, 5862, 9224, 6833, 5393, 6053, 8815, 114, 1392, 5862, 4484, 8839, 6053, 2169, 6468, 3368, 8956, 588, 6587, 6679, 4326]","[9691, 6993, 588, 10490, 9876, 8780, 6053, 2169, 6468, 2907, 7830, 588, 6833, 5393, 6053, 588, 4484]",1
"[5091, 3665, 2249, 9846, 2943, 6014, 6053, 588, 6314, 3368, 8956, 4048, 4706, 9769, 3514, 2249, 2419, 5494, 3220, 9480, 824, 2169, 7088]","[4533, 10126, 6993, 10507, 2169, 2943, 6053, 2169, 6314]",0
"[5091, 7626, 4143, 588, 9007, 2520, 8084, 2472]","[5091, 7626, 10001, 824, 588, 3992]",0
"[5091, 5393, 378, 10262, 4299, 3797, 588, 4806, 9876, 2851, 7997, 433, 2041, 7647, 5917]","[9291, 5393, 7830, 588, 5233, 9876, 2851, 7997, 824, 1421, 9575]",1
"[5091, 8995, 1207, 7111, 5393, 824, 4797, 2249, 588, 10385, 5160, 9150, 9193, 6115, 588, 2501, 8071, 6032, 588, 3665, 3338, 2249, 6596, 588, 2246, 2324, 6821, 1090]","[9691, 6993, 588, 683, 824, 2169, 10489, 4299, 1442, 5398]",1
"[5515, 6072, 2672, 3313, 599]","[9291, 5393, 6993, 657, 3313, 599, 2249, 4088, 8528, 2455, 8915]",0
"[9564, 824, 6598, 9193, 8396, 6103, 3368, 8956, 5393, 824, 9846, 9193, 2249, 5421, 10359, 10001]","[5091, 6578, 2249, 4818, 9071]",1
"[5091, 5337, 4656, 5393, 2761, 2520, 588, 10385, 8084, 6592, 2520, 4205, 10405, 6053, 588, 10347, 3216]","[5091, 8995, 5289, 1243, 6924, 6877, 6053, 588, 3216]",1
"[9435, 1402, 9876, 588, 355, 9634, 2922, 4846, 7626, 2520, 459, 4117, 2249, 824, 588, 2851, 6533, 5323, 1402, 3548, 4299, 3797, 588, 10831, 8894, 6053, 1421, 9783, 4582]","[5091, 7626, 6993, 4299, 588, 10699, 7485, 6623]",1
"[5091, 4818, 6042, 2249, 6578, 1569, 6053, 4506]","[9291, 4506, 6993, 8418]",0
"[5515, 8667, 2423, 6592, 2497, 2249, 3876, 824, 588, 2975, 9876, 7986]","[9291, 5393, 6993, 1867]",0
"[2566, 7986, 9854, 824, 588, 6496, 2302, 3364, 588, 9474, 1385, 5, 8705, 5681]","[2566, 7986, 9854, 3691]",1
"[9291, 3665, 7621, 6993, 8580, 5974, 3447, 588, 8974]","[9291, 3665, 7621, 6993, 4410]",1
"[10414, 824, 3211, 2147, 3247, 146]","[10414, 9854, 1741, 2859, 824, 8279, 7153]",0
"[1062, 3145, 8396, 1421, 6103, 4623, 588, 2851, 392, 4245, 6734, 6523, 6812, 10609, 2135]","[9291, 5634, 2249, 9614, 9854, 7957]",0
"[5091, 5393, 6993, 5361, 10595, 4380, 734, 1782, 2520, 9794, 9238, 6053, 8528, 7647, 4881, 5515, 2249, 1199, 7342, 2169, 4554, 5475]","[9291, 5393, 2469, 5361, 1782, 2520, 9238, 6053, 8528]",1
"[5091, 4552, 3881, 2306, 1776, 7710, 8956, 8377, 2169, 4495]","[5091, 683, 1044, 552]",0
"[5515, 641, 1828, 1044, 824, 553, 5974, 6053, 501, 9769, 4611, 8419]","[2916, 5003, 8653, 5590, 2191, 5974, 824, 2169, 10489]",1
"[5091, 4850, 8667, 588, 2064, 8428, 9272, 5133, 2169, 2467, 7471, 2249, 9846, 10359, 8839, 824, 2169, 9627, 1741, 588, 8737]","[5091, 4850, 6993, 1741, 588, 8737, 824, 2169, 9627]",1
"[5091, 10609, 9876, 7986, 9854, 9389, 4392, 588, 997, 9846, 10573, 2907, 7023, 3447, 6753, 8741]","[9291, 7986, 9854, 7154, 4392]",0
"[8387, 10768, 7965, 1044, 824, 9513, 9876, 5797, 9041, 2492]","[8387, 10768, 7965, 1044, 824, 9513, 9876, 2169, 2492, 8956, 3104]",0
"[5091, 5393, 4932, 8956, 8066, 552, 824, 6432, 9769, 5, 8705, 283, 7752]","[5515, 1044, 5797]",0
"[5091, 5393, 6993, 5361, 7309, 2672, 588, 4711, 401]","[5091, 5393, 6993, 5361, 10026, 2672, 2169, 1667, 1114]",0
"[42, 8785, 6263, 1044, 4320, 4048, 4706]","[5091, 5797, 9007, 6993, 824, 10789]",1
"[5091, 4850, 824, 588, 5342, 6598, 1054, 8489, 6053, 588, 10258, 9769, 588, 5393, 9122, 6053, 10451, 588, 1853, 8340]","[2126, 4205, 8031, 2311, 5587, 8279, 9798, 1699]",0
"[5091, 4818, 8667, 588, 5421, 9193, 2249, 8995, 10385, 4707, 6993, 6890, 58, 5388, 6053, 588, 3932, 4425, 588, 2919, 6828, 4568, 6215, 2907, 1887, 707, 908, 2704]","[5091, 4850, 2260, 707, 2919, 7858, 8854]",1
"[5091, 7626, 9389, 668, 2672, 2169, 8518]","[9291, 7626, 6993, 2761, 6053, 2169, 9627]",0
"[5091, 355, 5393, 2520, 588, 10041, 5475, 4878, 3690, 8956, 9818, 10561, 5778, 3364, 2169, 501]","[9291, 355, 5393, 7830, 8746]",1
"[9291, 8672, 6993, 89, 8523, 2169, 9489, 3208]","[9291, 8672, 6993, 8523, 9489, 3208]",1
"[5091, 5634, 2520, 588, 5421, 9193, 6993, 9647, 9903, 588, 10688, 6053, 588, 4817]","[5091, 5393, 2520, 588, 4817, 9647]",1
"[5091, 2975, 9876, 7986, 9854, 8687, 2657, 8279, 9575, 2672, 588, 2294, 2249, 9638, 9854, 8667, 10385, 8895, 4012]","[5091, 2975, 8667, 10385, 8895, 4012, 9854, 8687, 2657, 2672, 588, 2294]",1
"[5091, 5237, 9755, 8667, 8815, 482, 9193, 9089, 6060, 2530, 2249, 104, 6053, 2700, 4523]","[4998, 6993, 10682, 358]",1
"[5091, 355, 7626, 4143, 2520, 588, 9176, 10324, 6053, 588, 9860]","[957, 7626, 1044, 2520, 9176, 10324]",1
"[4684, 1052, 4322, 846, 588, 7519, 1022, 6053, 2169, 5974, 824, 588, 6297, 6496]","[9291, 4322, 9854, 10451]",1
"[9691, 6993, 588, 683, 6053, 588, 720, 149, 2520, 8815, 482, 2249, 3665, 720, 2041, 6053, 2169, 5974]","[5091, 7621, 6993, 9897, 588, 4449, 4233, 3327]",0
"[8387, 6508, 6053, 1705, 5695, 4996, 7349, 5020, 668, 588, 501]","[8387, 6508, 9854, 6053, 1705, 5695]",1
"[5091, 4850, 824, 588, 2423, 6993, 10418, 5361, 925, 3641, 4523, 2907, 6993, 288, 824, 4205, 1674, 7335, 1525]","[1046, 6993, 8574, 968, 8705, 588, 4850]",0
"[8387, 355, 3907, 6072, 2672, 4983, 1643, 5959, 671, 3745]","[8387, 7965, 6072, 2672, 3745]",1
"[5091, 355, 4850, 8667, 588, 10385, 9193, 2249, 6589, 6993, 824, 588, 843, 6072, 2672, 588, 10824, 231, 2520, 9379, 4665, 2249, 3665, 8496, 824, 588, 10338, 287]","[9291, 9614, 824, 2169, 843, 6993, 8667, 6589, 2249, 6072, 1105, 588, 9836]",0
"[5091, 4850, 6053, 588, 1853, 501, 6053, 588, 4091, 1022]","[5091, 4850, 6993, 6053, 588, 1853, 501]",1
"[5091, 355, 5393, 5792, 1536, 6224]","[5091, 4850, 6993, 7957, 2169, 7621]",0
"[6776, 6993, 9876, 588, 5393, 6053, 588, 4653, 7979, 8956, 588, 5696, 6053, 588, 7968, 7826, 7170, 668, 588, 4083, 2249, 2169, 7010, 824, 588, 3681, 1151]","[5091, 5393, 6993, 10451]",1
"[5091, 5393, 2249, 588, 4850, 5020, 7178, 1699, 3447, 2169, 4075, 3616, 726, 6187, 588, 8876, 9145, 1322, 848, 4386, 1666, 2520, 10385, 5950, 824, 2169, 7088]","[5091, 5393, 2249, 4850, 5020, 8279, 8788, 1322, 1666, 2249, 588, 10385, 5950]",1
"[5515, 824, 1082, 734, 5062, 9193, 7830, 1421, 9575, 824, 588, 997, 2736, 2321, 2520, 9839, 9876, 599, 824, 10678]","[8100, 3276, 824, 7465]",0
"[9484, 4866, 6508, 9389, 8705, 588, 2337, 9393]","[9484, 4866, 4850, 6993, 8705, 588, 2337, 5494]",1
